Symbol,Fincode,ISIN,Latest_Date,Latest_Close,Latest_Volume,1_Week,1_Month,3_Months,6_Months,1_Year,3_Years,5_Years
LGHL,289548,INE258Y01016,2025-08-22,683.9,104331,-2.0481237467774376,-16.96211753278291,23.291869478997643,15.192858345965963,147.5208107129931,2816.417910447761,4269.9680511182105
LIBAS,284132,INE908V01012,2025-08-22,12.54,17582,2.871205906480719,-7.929515418502203,-4.420731707317074,-4.927975739196364,-27.68166089965398,-48.04030511347583,-50.246757882212925
LIBERTSHOE,126596,INE557B01019,2025-08-22,314.5,11946,3.984129608199706,-16.06618628235922,-32.139389362390766,-8.322401982218338,-37.09370937093709,86.64688427299704,114.16411304051755
LICHSGFIN,100253,INE115A01026,2025-08-22,563.5,1778532,-1.0101010101010102,-9.061567013636727,-5.603484378926216,3.5750390589100354,-17.417747490290907,45.60723514211886,103.613369467028
LICI,217376,INE0J1Y01017,2025-08-22,889.1,755980,0.15206983948183866,-3.568329718004336,3.353676256902066,13.855807401715975,-17.33147373314737,32.483981522872895,
LICMFGOLD,227917,INF397L01554,2025-08-22,9016.2,4488,-0.45817370855736,-0.8347906424258382,3.815264512340459,15.041436199735884,37.90983136400139,,
LICNETFGSC,272454,INF767K01MV5,2025-08-22,28.14,26356,-0.49504950495049704,-1.3669821240799178,-0.9154929577464719,3.7228160707703712,7.527703477264038,,
LICNETFN50,279126,INF767K01OS7,2025-08-22,276.08,17282,1.1022814662906915,-1.1670365862389886,0.7701573164944908,9.686134286849422,1.2023460410557085,,
LICNETFSEN,279163,INF767K01OT5,2025-08-22,913.34,16,1.4980108016802633,-1.0412265019773568,0.6158083172679738,9.329662437155859,1.5386325736520325,,
LICNFNHGP,280472,INF767K01PC8,2025-08-22,277.0,144,2.304624021273456,-1.0714285714285714,0.5882780158326693,8.66154087556881,0.24971951793275587,,
LICNMID100,313062,INF767K01RN1,2025-08-22,58.34,1049,2.0465278992478604,-1.9989921048210946,3.0559971736442395,14.414591096293394,0.4995693367786499,,
LIKHITHA,297009,INE060901027,2025-08-22,249.65,41532,0.9911003236246024,-10.839285714285712,-7.434186132740075,-7.348302096863976,-40.45319022063208,78.73635224628602,
LINC,131241,INE802B01027,2025-08-22,133.62,28800,7.6105339453974405,-6.013926988816194,-12.328587363033918,11.769134253450446,-10.592171294747397,95.67270730367932,191.11111111111111
LINCOLN,131633,INE405C01035,2025-08-22,550.55,28214,1.4558186676494937,-0.0090810025426931,-1.4499239237447459,-2.9183565508728737,-23.524100569523547,94.40324858757062,124.53099510603589
LINDEINDIA,123457,INE473A01011,2025-08-22,6311.5,7242,1.5935613682092553,-4.109693102400486,-10.525942727530479,2.3796392421489716,-13.528065872939754,90.21427925620085,725.7883030223734
LIQGRWBEES,313396,INF204KC1FU1,2025-08-22,1004.88,15606,0.09462811152172418,,,,,,
LIQUID,311422,INF769K01KS1,2025-08-22,999.99,43034,0.0,0.0,0.0,0.0,0.0,,
LIQUID1,309186,INF174KA1LV5,2025-08-22,1065.29,316968,0.09866195594978149,0.4526209582362827,1.296046250689375,2.767702103029139,6.08133675887753,,
LIQUIDADD,313084,INF740KA1UM0,2025-08-22,1087.49,483511,0.09756726158150505,0.44426792773487506,1.2664239354123707,2.7067612364591187,5.941548952752071,,
LIQUIDBEES,219298,INF732E01037,2025-08-22,1000.0,2485974,0.0,0.0010000100000990915,0.0010000100000990915,0.0,0.0,,
LIQUIDBETF,313108,INF0QA701854,2025-08-22,1044.82,419214,0.09771986970683866,0.44800799876940606,1.2608910555237873,2.695105170041278,4.483044830448297,,
LIQUIDCASE,313039,INF0R8F01034,2025-08-22,110.1,7965442,0.1000090917356118,0.4470395036949137,1.278631220678871,2.7243888785221,5.967276227141471,,
LIQUIDETF,288876,INF740KA1EU7,2025-08-22,1000.0,83026,0.0,0.0,0.0010000100000990915,0.0,0.0010000100000990915,,
LIQUIDIETF,292583,INF109KC1KT9,2025-08-22,999.99,915027,0.0,0.0,0.0,0.0,0.012001560202826821,,
LIQUIDPLUS,313230,INF769K01MY5,2025-08-22,1047.17,66334,0.10037089435248174,0.4527795098086265,1.298186215235799,2.7594328050635513,,,
LIQUIDSBI,312606,INF200KA13Z8,2025-08-22,1000.0,2607,0.0,0.0,0.0010000100000990915,0.0010000100000990915,0.0,,
LIQUIDSHRI,313131,INF680P01422,2025-08-22,1067.37,4362,0.09565339710226303,0.4375564588979095,1.2435262648682393,2.6524586695390346,5.826888756692432,,
LLOYDS-RE,313022,INE093R20011,2024-01-05,24.95,868184,7.081545064377676,,,,,,
LLOYDS-RE1,313336,INE093R20029,2025-05-27,16.22,23191513,14.953933380581145,,,,,,
LLOYDSENGG,282112,INE093R01011,2025-08-22,68.89,2203361,-0.8063354931605504,-12.096465484241422,34.340873634945396,17.550315048134387,-4.463338505765691,431.0506469994051,9427.673372636387
LLOYDSENT,313212,INE080I01025,2025-08-22,71.97,2171706,-1.1943986820428398,-4.105884804073434,52.93490155712578,58.28700792698498,,,
LLOYDSME,112455,INE281B01032,2025-08-22,1353.7,292744,-3.217273182240652,-11.337437778359963,1.08273596176822,13.417954840601576,74.32232309574401,,
LMW,100252,INE269B01029,2025-08-22,15133.0,1786,1.8234423361593324,-5.07464559026471,-13.008737640836973,4.902327773849636,,,
LODHA,219442,INE670K01029,2025-08-22,1261.0,789131,2.387138681390069,-5.472263868065967,-10.744620611551527,3.739048167496199,3.119761213558498,138.80314364170061,
LOKESHMACH,132740,INE397H01017,2025-08-22,223.66,204578,10.302312965428802,6.171081363334283,20.027905978319197,23.945691327237466,-37.62097336494213,162.97472075249854,864.051724137931
LORDSCHLO,100284,INE846D01012,2025-08-22,196.55,12484,-0.6470201688318258,-12.309270991344686,28.50604772801571,49.60420155274777,39.96297087516913,,
LOTUSDEV,313413,INE0V9Q01010,2025-08-22,191.81,1990056,2.2768476058440923,,,,,,
LOTUSEYE,200080,INE947I01017,2025-08-22,97.83,1267152,27.53226437231131,32.903138160576006,35.25508087930319,60.16699410609038,28.368980448760013,50.97222222222223,231.6271186440678
