Symbol,Fincode,ISIN,Latest_Date,Latest_Close,Latest_Volume,Turnover,1_Week,1_Month,3_Months,6_Months,9_Months,1_Year,3_Years,5_Years,Raw_Score,Normalized_Score
LAXMICOT,285015,INE801V01019,2025-09-08,24.74,32295,808876.7175,1.1033919084593364,-0.2419354838709769,-9.310850439882708,5.456095481670919,-24.893746205221614,-40.35679845708775,0.9795918367346876,149.89898989898987,-1896.8353364672048,20.104237486384086
LAXMIDENTL,313272,INE0WO601020,2025-09-08,333.6,104635,37132345.625,-1.8679217531989898,-15.672396359959553,-17.179741807348556,-23.380799265043628,,,,,,
LAXMIINDIA,313409,INE06WU01026,2025-09-08,167.55,1713818,248064015.68299997,26.89336564677372,3.4386961353253622,,,,,,,,
LCCINFOTEC,132019,INE938A01021,2025-09-08,4.48,194150,882120.525,0.9009009009009016,9.002433090024333,-27.74193548387096,-36.27311522048364,-58.78564857405703,-44.34782608695652,46.885245901639365,1692.0000000000002,-4928.78306321052,0.06060989557188632
LEMONTREE,213429,INE970X01018,2025-09-08,177.93,7541380,1198562835.4699998,4.529432499118792,24.157420975507645,25.763358778625967,39.58578489056249,21.32142370107733,36.92189303578301,122.27357901311682,540.0359712230215,2983.4491907333886,52.36686679809749
LEXUS,287018,INE500X01013,2025-09-08,28.83,64255,1927842.7649999997,-3.1575411488075287,-5.102040816326533,-18.536309692003396,-21.572361262241568,-34.84745762711865,-29.32091198823241,-50.164217804667246,146.4102564102564,-2932.012910542253,13.260876170452907
LFIC,221451,INE850E01012,2025-09-08,208.27,1412,292711.836,2.6618031251540426,2.829070800829475,-1.726985325343272,21.468564096582295,-12.81761480179161,-16.084451428341183,98.16365366317794,340.7830687830688,-369.14485936580724,30.203507578332793
LGBBROSLTD,100250,INE337A01034,2025-09-08,1354.2,28282,36225565.34,6.161806208842909,9.17445985166075,4.113169831629122,13.445589344056295,0.15161039825462813,-4.202037351443114,79.49499635496056,425.39282250242485,269.24804977685073,34.42380122475882
LGHL,289548,INE258Y01016,2025-09-08,893.15,82755,59034520.575,28.612571099431193,30.989220503043185,34.03616717941021,44.52265372168284,65.62818729717199,213.38596491228068,3552.965235173824,5607.028753993611,8546.92510762939,89.14594395867034
LIBAS,284132,INE908V01012,2025-09-08,12.03,61922,745138.387,3.439380911435929,8.868778280542973,-14.498933901918983,-0.41390728476821775,-29.56674473067915,-42.35745088643987,-50.15349844618135,-44.087966257106295,-2491.3276194285727,16.17416249855162
