Stock_Symbol,Sector
BANDHANBNK,Unknown
BANG,Unknown
BANKA,Bank - Public
BANKBARODA,Bank - Public
BANKBEES,Bank - Public
BANKBETF,Bank - Public
BANKETF,Bank - Public
BANKETFADD,Bank - Public
BANKIETF,Bank - Public
BANKINDIA,Bank - Public
BANKNIFTY1,Bank - Public
BANKPSU,Bank - Public
BANSALWIRE,Unknown
BANSWRAS,Unknown
BARBEQUE,Restaurants
BARFLEX,Unknown
BASF,Unknown
BASILIC,Unknown
BASML,Unknown
BATAINDIA,Footwear
BAWEJA,IT - Hardware
BAYERCROP,Pesticides & Agrochemicals
BBETF0432,Unknown
BBL,Engineering Consultancy
BBNPNBETF,Bank - Public
BBNPPGOLD,Unknown
BBOX,Unknown
BBTC,Unknown
BBTCL,Unknown
BCG,Unknown
BCLIND,Edible Oil
BCONCEPTS,Unknown
BDL,Unknown
BEACON,Unknown
BEARDSELL,Unknown
BECTORFOOD,Unknown
BEDMUTHA,Unknown
BEL,Cable
BELLACASA,Unknown
BELRISE,Unknown
BEML,Construction Vehicles
BEPL,Packaging
BERGEPAINT,Unknown
BESTAGRO,Pesticides & Agrochemicals
BETA,Unknown
BEWLTD,Unknown
BFINVEST,Unknown
BFSI,Unknown
BFUTILITIE,Construction Vehicles
BGRENERGY,Unknown
BHAGCHEM,Pharmaceuticals & Drugs
BHAGERIA,Dyes & Pigments
BHAGYANGR,Unknown
BHANDARI,Unknown
BHARATFORG,Forgings
BHARATGEAR,Unknown
BHARATRAS,Unknown
BHARATSE,Auto Ancillary
BHARATWIRE,Metal - Non Ferrous
BHARTIARTL,Unknown
BHARTIHEXA,Telecommunication - Service  Provider
BHEL,Unknown
BIGBLOC,Unknown
BIKAJI,Unknown
BIKEWO,Automobiles - Dealers & Distributors
BIL,Agriculture
BILVYAPAR,Diversified
BIOCON,Unknown
BIOFILCHEM,Pharmaceuticals & Drugs
BIRDYS,Unknown
BIRET,Unknown
BIRLACABLE,Unknown
BIRLACORPN,Unknown
BIRLAMONEY,Unknown
BIRLANU,Unknown
BLACKBUCK,Unknown
BLAL,Unknown
BLBLIMITED,Unknown
BLISSGVS,Unknown
BLKASHYAP,Unknown
BLS,Professional Services
BLSE,Professional Services
BLUECOAST,Unknown
BLUEDART,Courier  Services
BLUEJET,Unknown
BLUEPEBBLE,Engineering Consultancy
BLUESTARCO,Air Conditioners
BLUEWATER,Aquaculture
BLUSPRING,Unknown
BMETRICS,Unknown
BODALCHEM,Pharmaceuticals & Drugs
BOHRAIND,Unknown
BOMDYEING,Unknown
BORANA,Unknown
BOROLTD,Unknown
BORORENEW,Unknown
BOROSCI,Unknown
BOSCHLTD,Auto Ancillary
BOSS,Unknown
BPCL,Refineries
BPL,Unknown
BRACEPORT,Unknown
BRIGADE,Unknown
BRIGHOTEL,Unknown
BRITANNIA,Consumer Food
BRNL,Unknown
BROOKS,Unknown
BSE,Finance - Others
BSE500IETF,Finance - Others
BSHSL,Unknown
BSL,Unknown
BSLGOLDETF,Unknown
BSLNIFTY,Bank - Public
BSLSENETFG,Unknown
BSOFT,Unknown
BTML,Unknown
BULKCORP,Unknown
BUTTERFLY,Unknown
BVCL,Unknown
BYKE,Unknown
C2C,Defence
CADSYS,BPO/ITeS
CALSOFT,Unknown
CALSOFTPP,Unknown
CAMLINFINE,Unknown
CAMPUS,Footwear
CAMS,Unknown
CANARYS,Unknown
CANBK,Unknown
CANFINHOME,Finance - Housing
CANTABIL,Unknown
CAPACITE,Unknown
CAPINVIT,Unknown
CAPITALSFB,Unknown
CAPLIPOINT,Unknown
CAPTRUST,Unknown
CARBORUNIV,Unknown
CARERATING,Ratings
CARRARO,Unknown
CARTRADE,Automobiles - Dealers & Distributors
CARYSIL,Unknown
CASHIETF,Unknown
CASTROLIND,Lubricants
CBAZAAR,Unknown
CCCL,Unknown
CCHHL,Unknown
CCL,Tea/Coffee
CDSL,Unknown
CEATLTD,Tyres & Allied
CEDAAR,Unknown
CEIGALL,Unknown
CELEBRITY,Unknown
CELLECOR,Unknown
CELLO,Unknown
CELLPOINT,Textile
CENTENKA,Unknown
CENTEXT,Unknown
CENTRALBK,Unknown
CENTRUM,Unknown
CENTUM,Unknown
CENTURYPLY,Wood & Wood Products
CERA,Ceramics/Marble/Granite/Sanitaryware
CEREBRAINT,Unknown
CESC,Consumer Durables - Domestic Appliances
CEWATER,Unknown
CGCL,Unknown
CGPOWER,Unknown
CGRAPHICS,Unknown
CHALET,"Hotel, Resort & Restaurants"
CHAMBLFERT,Unknown
CHAMUNDA,Unknown
CHANDAN,Hospital & Healthcare Services
CHAVDA,Unknown
CHEMBOND,Pharmaceuticals & Drugs
CHEMBONDCH,Pharmaceuticals & Drugs
CHEMCON,Pharmaceuticals & Drugs
CHEMFAB,Pharmaceuticals & Drugs
CHEMPLASTS,Pharmaceuticals & Drugs
CHENNPETRO,Unknown
CHETANA,Unknown
CHEVIOT,Unknown
CHOICEIN,Unknown
CHOLAFIN,Unknown
CHOLAHLDNG,Unknown
CIEINDIA,Industrial  Gases & Fuels
CIFL,Unknown
CIGNITITEC,Telecommunication - Equipment
CINELINE,Unknown
CINEVISTA,Unknown
CIPLA,Pharmaceuticals & Drugs
CLEAN,Unknown
CLEDUCATE,Unknown
CLSEL,Unknown
CLSL,Unknown
CMNL,Unknown
CMRSL,Unknown
CMSINFO,Business Support
COALINDIA,Mining & Minerals
COASTCORP,Unknown
COCHINSHIP,Ship Building
COFFEEDAY,Restaurants
COFORGE,Unknown
COHANCE,Unknown
COLPAL,Unknown
COMMOIETF,Unknown
COMPUSOFT,Unknown
COMSYN,Unknown
CONCOR,Environmental Services
CONCORDBIO,Unknown
CONFIPET,Unknown
CONS,Cement & Construction Materials
CONSOFINVT,Unknown
CONSUMBEES,Unknown
CONSUMER,Consumer Durables - Electronics
CONSUMIETF,Unknown
CONTI,Refineries
CONTROLPR,IT - Hardware
COOLCAPS,Unknown
CORALFINAC,Unknown
CORDSCABLE,Unknown
COROMANDEL,Fertilizers
COSMOFIRST,Unknown
COUNCODOS,Unknown
CPCAP,Educational Institutions
CPPLUS,Unknown
CPS,Unknown
CPSEETF,Unknown
CRAFTSMAN,Unknown
CREATIVE,Unknown
CREATIVEYE,Unknown
CREDITACC,Cement & Construction Materials
CREST,Unknown
CRISIL,Ratings
CRIZAC,Educational Institutions
CROMPTON,Unknown
CROWN,Unknown
CSBBANK,Bank - Private
CSLFINANCE,Finance - Stock Broking
CTE,Compressors / Pumps
CUB,Unknown
CUBEXTUB,Unknown
CUDML,Unknown
CUMMINSIND,Diesel Engines
CUPID,Unknown
CURAA,Unknown
CYBERMEDIA,Printing And Publishing
CYBERTECH,Plastic Products
CYIENT,Unknown
CYIENTDLM,Unknown
DABUR,Household & Personal Products
DALBHARAT,Unknown
DALMIASUG,Unknown
DAMCAPITAL,Unknown
DAMODARIND,Unknown
DANGEE,Electrodes & Welding Equipment
DANISH,Unknown
DATAMATICS,Unknown
DATAPATTNS,Unknown
DAVANGERE,Unknown
DBCORP,Printing And Publishing
DBEIL,Unknown
DBL,Breweries & Distilleries
DBOL,Unknown
DBREALTY,Unknown
DBSTOCKBRO,Unknown
DCAL,Unknown
DCBBANK,Bank - Public
DCCL,Unknown
DCG,Cable
DCI,Telecommunication - Equipment
DCM,Diversified
DCMFINSERV,Unknown
DCMNVL,Unknown
DCMSHRIRAM,Diversified
DCMSRIND,Power Generation/Distribution
DCW,Unknown
DCXINDIA,Industrial  Gases & Fuels
DDEVPLSTIK,Unknown
DECCANCE,Unknown
DECCANTRAN,Shipping
DEEDEV,Unknown
DEEM,Unknown
DEEPAKFERT,Unknown
DEEPAKNTR,Unknown
DEEPINDS,Unknown
DELAPLEX,Unknown
DELHIVERY,Logistics
DELPHIFX,Unknown
DELTACORP,Miscellaneous
DELTAMAGNT,Unknown
DELTIC,Unknown
DEN,Amusement Parks/Recreation/Club
DENEERS,Unknown
DENORA,Unknown
DENTA,Medical Equipment/Supplies/Accessories
DENTALKART,Unknown
DESTINY,Unknown
DEVIT,Laminates/Decoratives
DEVYANI,Unknown
DGCONTENT,Unknown
DHAMPURSUG,Sugar
DHANBANK,Bank - Private
DHANI,Unknown
DHANLAXMI,Unknown
DHANUKA,Unknown
DHARAN,Unknown
DHARIWAL,Unknown
DHARMAJ,Unknown
DHRUV,Unknown
DHTL,Unknown
DHUNINV,Unknown
DIACABS,Unknown
DIAMINESQ,Unknown
DIAMONDYD,Unknown
DICIND,Unknown
DIFFNKG,Unknown
DIGIDRIVE,Unknown
DIGIKORE,Unknown
DIGISPICE,Unknown
DIGITIDE,Telecommunication - Equipment
DIGJAMLMTD,Textile - Weaving
DIL,Breweries & Distilleries
DISHTV,Unknown
DIVGIITTS,Unknown
DIVINEHIRA,Unknown
DIVISLAB,Pharmaceuticals & Drugs
DIVOPPBEES,Unknown
DIVYADHAN,Textile - Manmade  Fibres
DIXON,Consumer Durables - Electronics
DJML,Unknown
DLF,Construction - Real Estate
DLINKINDIA,IT - Networking
DMART,Unknown
DMCC,Unknown
DNAMEDIA,Unknown
DODLA,Unknown
DOLATALGO,Unknown
DOLLAR,Unknown
DOLLEX,Unknown
DOLPHIN,Oil Exploration
DOMS,Printing & Stationery
DONEAR,Unknown
DPABHUSHAN,Diamond  &  Jewellery
DPEL,Unknown
DPSCLTD,Unknown
DPWIRES,Unknown
DRCSYSTEMS,Unknown
DREAMFOLKS,Airport Management Services
DREDGECORP,Unknown
DRONE,Unknown
DRREDDY,Pharmaceuticals & Drugs
DSSL,Unknown
DTIL,Construction Vehicles
DUCOL,Paints
DUCON,Unknown
DURLAX,Ceramics/Marble/Granite/Sanitaryware
DVL,Unknown
DWARKESH,Unknown
DYCL,Unknown
DYNAMATECH,Plastic Products
DYNAMIC,Defence
DYNPRO,Unknown
E2E,IT - Hardware
EASEMYTRIP,Unknown
EBANKNIFTY,Bank - Public
EBBETF0430,Unknown
EBBETF0431,Unknown
EBBETF0433,Unknown
EBGNG,Unknown
ECAPINSURE,Unknown
ECLERX,BPO/ITeS
ECOSMOBLTY,Unknown
EDELWEISS,Unknown
EEPL,Packaging
EFACTOR,TV Broadcasting & Software Production
EFFWA,Unknown
EFORCE,Unknown
EGOLD,Unknown
EICHERMOT,Automobile Two & Three Wheelers
EIDPARRY,Unknown
EIEL,Solvent  Extraction
EIFFL,Unknown
EIHAHOTELS,"Hotel, Resort & Restaurants"
EIHOTEL,"Hotel, Resort & Restaurants"
EIMCOELECO,Unknown
EKC,Unknown
ELDEHSG,Unknown
ELECON,Engineering - Industrial Equipments
ELECTCAST,Unknown
ELECTHERM,Unknown
ELGIEQUIP,Compressors / Pumps
ELGIRUBCO,Unknown
ELGNZ,Unknown
ELIN,Auto Ancillary
ELLEN,Industrial  Gases & Fuels
EMAMILTD,Household & Personal Products
EMAMIPAP,Household & Personal Products
EMAMIREAL,Household & Personal Products
EMAPARTNER,Unknown
EMBASSY,Unknown
EMBDL,Unknown
EMCURE,Unknown
EMIL,Textile - Weaving
EMKAY,Finance - Stock Broking
EMKAYTOOLS,Unknown
EMMBI,Unknown
EMMIL,Unknown
EMSLIMITED,Unknown
EMUDHRA,Unknown
EMULTIMQ,Unknown
ENDURANCE,Auto Ancillary
ENERGYDEV,Unknown
ENFUSE,e-Commerce
ENGINERSIN,Unknown
ENIL,Unknown
ENRIN,Unknown
ENSER,Unknown
ENTERO,Unknown
ENVIRO,Environmental Services
EPACK,Air Conditioners
EPIGRAL,Unknown
EPL,Packaging
EQUAL200,Unknown
EQUAL50,Unknown
EQUAL50ADD,Unknown
EQUIPPP,Unknown
EQUITASBNK,Unknown
ERIS,Agriculture
