Symbol,Fincode,ISIN,Latest_Date,Latest_Close,Latest_Volume,Turnover,1_Week,1_Month,3_Months,6_Months,9_Months,1_Year,3_Years,5_Years,Raw_Score,Normalized_Score
DOLLAR,207877,INE325C01035,12-09-2025,364.4,96557,38344689.02,1.93006993,-0.735494416,-8.200025192,-2.462526767,-32.26136258,-29.29763291,-26.32430247,158.0736544,-2135.616016,16.06341667
DOLPHIN,122261,INE920A01037,12-09-2025,401.5,1715,670021.8214,-4.947916667,-7.54173863,8.308605341,58.23283676,-28.98832685,-36.43128562,,,-149.2053475,28.9825496
DOMS,313019,INE321T01012,12-09-2025,2596.8,76396,196379865.1,-1.874244256,9.256142713,11.22628175,-7.5789661,-10.84713758,-7.615134212,,,-587.5667235,26.13155359
DONEAR,112519,INE668D01028,12-09-2025,96.73,45525,5194804.638,1.543145077,-0.626669406,-11.2324493,-6.242124649,-39.9155227,-19.98511043,58.96466721,265.7088847,-2426.920771,14.16884124
DPABHUSHAN,287446,INE266Y01019,12-09-2025,1548.3,24806,37700834.07,-1.863472143,-4.260450161,6.412371134,14.82072009,-1.891455185,-4.198248925,265.2081613,1645.546787,413.8085962,32.64425566
DPSCLTD,200503,INE360C01024,12-09-2025,12.13,67440,908341.8667,-1.140994295,-0.246710526,-10.87435709,6.9664903,-31.8921954,-36.69102296,-18.86287625,0.247933884,-2104.73784,16.26424084
DPWIRES,270430,INE864X01013,12-09-2025,279.2,566481,140328641.8,2.681034166,36.94329998,18.5814398,27.96773306,-25.4074272,-30.18254564,-28.12575419,441.7414504,-825.6516789,24.58310682
DRCSYSTEMS,301577,INE03RS01027,12-09-2025,22.29,158812,3492514.098,7.629164655,27.80963303,17.06932773,8.046534174,-28.71762072,-13.57115161,62.89890378,,-1070.327644,22.99179372
DREAMFOLKS,305057,INE0JS101016,12-09-2025,138.58,31082,7635524.688,-1.204819277,-8.648648649,-49.05147059,-36.57665904,-65.77426525,-72.35311721,-67.36606617,,-6132.249708,0
DREDGECORP,123618,INE506A01018,12-09-2025,635.5,36471,24347391.23,-0.594400125,-2.984505,-12.36900165,15.60851373,-31.72906483,-24.61447212,102.5820848,131.6806416,-1650.619184,19.21771837
DRREDDY,100124,INE089A01031,12-09-2025,1316.7,1042942,1292203979,3.832505323,5.050263284,-3.36146789,18.84110294,3.681247293,-1.501380193,54.80025394,49.57061069,453.7105312,32.90376816
DSSL,132365,INE417B01040,12-09-2025,965.35,12236,13552817.93,-0.546025859,-7.311569851,-8.575622692,-3.705735661,-34.25389907,-33.06638932,223.942953,3429.616088,-2265.402009,15.21932007
DTIL,272702,INE341R01014,12-09-2025,191.23,4453,894416.7158,-0.005229032,-3.618769215,-3.326424347,10.63349725,-35.92561568,-24.38812226,-13.56836158,18.87484459,-1705.922558,18.85803865
DUCON,228688,INE741L01018,12-09-2025,5.43,440538,2711413.493,0.742115028,0.369685767,-11.85064935,-0.183823529,-33.37423313,-43.4375,-60.17287875,65.69103648,-2508.278005,13.63971353
